percent_perturbed,perturbation,input,readable_output,model_type,tokenized_output,confidence,bleu_score,control_number
10,cardinal numbers,bpe_set/removed_named_entities_cardinal_10.en.bpe,translations/out_removed_named_entities_cardinal_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_10.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.4,37
20,cardinal numbers,bpe_set/removed_named_entities_cardinal_20.en.bpe,translations/out_removed_named_entities_cardinal_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_20.es_en-es-non-shuffled.bpe,μ = 52.3 ± 0.7,52.3,37
30,cardinal numbers,bpe_set/removed_named_entities_cardinal_30.en.bpe,translations/out_removed_named_entities_cardinal_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_30.es_en-es-non-shuffled.bpe,μ = 52.1 ± 0.6,52.1,37
40,cardinal numbers,bpe_set/removed_named_entities_cardinal_40.en.bpe,translations/out_removed_named_entities_cardinal_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_40.es_en-es-non-shuffled.bpe,μ = 51.9 ± 0.7,52.0,37
50,cardinal numbers,bpe_set/removed_named_entities_cardinal_50.en.bpe,translations/out_removed_named_entities_cardinal_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_50.es_en-es-non-shuffled.bpe,μ = 51.8 ± 0.7,51.8,37
60,cardinal numbers,bpe_set/removed_named_entities_cardinal_60.en.bpe,translations/out_removed_named_entities_cardinal_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_60.es_en-es-non-shuffled.bpe,μ = 51.6 ± 0.7,51.6,37
70,cardinal numbers,bpe_set/removed_named_entities_cardinal_70.en.bpe,translations/out_removed_named_entities_cardinal_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_70.es_en-es-non-shuffled.bpe,μ = 51.4 ± 0.7,51.5,37
80,cardinal numbers,bpe_set/removed_named_entities_cardinal_80.en.bpe,translations/out_removed_named_entities_cardinal_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_80.es_en-es-non-shuffled.bpe,μ = 51.3 ± 0.7,51.3,37
90,cardinal numbers,bpe_set/removed_named_entities_cardinal_90.en.bpe,translations/out_removed_named_entities_cardinal_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_cardinal_90.es_en-es-non-shuffled.bpe,μ = 51.1 ± 0.7,51.1,37
100,named organizations,bpe_set/removed_named_entities_organization_100.en.bpe,translations/out_removed_named_entities_organization_100.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_100.es_en-es-non-shuffled.bpe,μ = 45.6 ± 0.6,45.7,38
10,named organizations,bpe_set/removed_named_entities_organization_10.en.bpe,translations/out_removed_named_entities_organization_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_10.es_en-es-non-shuffled.bpe,μ = 51.9 ± 0.7,51.9,38
20,named organizations,bpe_set/removed_named_entities_organization_20.en.bpe,translations/out_removed_named_entities_organization_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_20.es_en-es-non-shuffled.bpe,μ = 51.1 ± 0.6,51.1,38
30,named organizations,bpe_set/removed_named_entities_organization_30.en.bpe,translations/out_removed_named_entities_organization_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_30.es_en-es-non-shuffled.bpe,μ = 50.3 ± 0.6,50.3,38
40,named organizations,bpe_set/removed_named_entities_organization_40.en.bpe,translations/out_removed_named_entities_organization_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_40.es_en-es-non-shuffled.bpe,μ = 49.6 ± 0.6,49.6,38
50,named organizations,bpe_set/removed_named_entities_organization_50.en.bpe,translations/out_removed_named_entities_organization_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_50.es_en-es-non-shuffled.bpe,μ = 48.9 ± 0.6,48.9,38
60,named organizations,bpe_set/removed_named_entities_organization_60.en.bpe,translations/out_removed_named_entities_organization_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_60.es_en-es-non-shuffled.bpe,μ = 48.0 ± 0.6,48.1,38
70,named organizations,bpe_set/removed_named_entities_organization_70.en.bpe,translations/out_removed_named_entities_organization_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_70.es_en-es-non-shuffled.bpe,μ = 47.6 ± 0.6,47.6,38
80,named organizations,bpe_set/removed_named_entities_organization_80.en.bpe,translations/out_removed_named_entities_organization_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_80.es_en-es-non-shuffled.bpe,μ = 46.9 ± 0.6,46.9,38
90,named organizations,bpe_set/removed_named_entities_organization_90.en.bpe,translations/out_removed_named_entities_organization_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_organization_90.es_en-es-non-shuffled.bpe,μ = 46.3 ± 0.6,46.3,38
100,named people,bpe_set/removed_named_entities_person_100.en.bpe,translations/out_removed_named_entities_person_100.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_100.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.4,39
10,named people,bpe_set/removed_named_entities_person_10.en.bpe,translations/out_removed_named_entities_person_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_10.es_en-es-non-shuffled.bpe,μ = 52.6 ± 0.7,52.6,39
20,named people,bpe_set/removed_named_entities_person_20.en.bpe,translations/out_removed_named_entities_person_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_20.es_en-es-non-shuffled.bpe,μ = 52.5 ± 0.6,52.6,39
30,named people,bpe_set/removed_named_entities_person_30.en.bpe,translations/out_removed_named_entities_person_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_30.es_en-es-non-shuffled.bpe,μ = 52.5 ± 0.7,52.5,39
40,named people,bpe_set/removed_named_entities_person_40.en.bpe,translations/out_removed_named_entities_person_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_40.es_en-es-non-shuffled.bpe,μ = 52.5 ± 0.7,52.5,39
50,named people,bpe_set/removed_named_entities_person_50.en.bpe,translations/out_removed_named_entities_person_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_50.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.4,39
60,named people,bpe_set/removed_named_entities_person_60.en.bpe,translations/out_removed_named_entities_person_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_60.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.5,39
70,named people,bpe_set/removed_named_entities_person_70.en.bpe,translations/out_removed_named_entities_person_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_70.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.4,39
80,named people,bpe_set/removed_named_entities_person_80.en.bpe,translations/out_removed_named_entities_person_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_80.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.6,52.4,39
90,named people,bpe_set/removed_named_entities_person_90.en.bpe,translations/out_removed_named_entities_person_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_removed_named_entities_person_90.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.4,39
100,articles,bpe_set/rm_articles_100.en.bpe,translations/out_rm_articles_100.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_100.es_en-es-non-shuffled.bpe,μ = 51.3 ± 0.7,51.3,40
10,articles,bpe_set/rm_articles_10.en.bpe,translations/out_rm_articles_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_10.es_en-es-non-shuffled.bpe,μ = 52.6 ± 0.7,52.6,40
20,articles,bpe_set/rm_articles_20.en.bpe,translations/out_rm_articles_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_20.es_en-es-non-shuffled.bpe,μ = 52.5 ± 0.7,52.5,40
30,articles,bpe_set/rm_articles_30.en.bpe,translations/out_rm_articles_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_30.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.6,52.4,40
40,articles,bpe_set/rm_articles_40.en.bpe,translations/out_rm_articles_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_40.es_en-es-non-shuffled.bpe,μ = 52.3 ± 0.7,52.4,40
50,articles,bpe_set/rm_articles_50.en.bpe,translations/out_rm_articles_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_50.es_en-es-non-shuffled.bpe,μ = 52.2 ± 0.7,52.2,40
60,articles,bpe_set/rm_articles_60.en.bpe,translations/out_rm_articles_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_60.es_en-es-non-shuffled.bpe,μ = 51.9 ± 0.7,51.9,40
70,articles,bpe_set/rm_articles_70.en.bpe,translations/out_rm_articles_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_70.es_en-es-non-shuffled.bpe,μ = 51.9 ± 0.7,51.9,40
80,articles,bpe_set/rm_articles_80.en.bpe,translations/out_rm_articles_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_80.es_en-es-non-shuffled.bpe,μ = 51.7 ± 0.6,51.8,40
90,articles,bpe_set/rm_articles_90.en.bpe,translations/out_rm_articles_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_articles_90.es_en-es-non-shuffled.bpe,μ = 51.8 ± 0.7,51.8,40
100,demonstrative,bpe_set/rm_demonstrative_100.en.bpe,translations/out_rm_demonstrative_100.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_100.es_en-es-non-shuffled.bpe,μ = 51.3 ± 0.7,51.3,41
10,demonstrative,bpe_set/rm_demonstrative_10.en.bpe,translations/out_rm_demonstrative_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_10.es_en-es-non-shuffled.bpe,μ = 52.6 ± 0.7,52.6,41
20,demonstrative,bpe_set/rm_demonstrative_20.en.bpe,translations/out_rm_demonstrative_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_20.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.4,41
30,demonstrative,bpe_set/rm_demonstrative_30.en.bpe,translations/out_rm_demonstrative_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_30.es_en-es-non-shuffled.bpe,μ = 52.5 ± 0.7,52.5,41
40,demonstrative,bpe_set/rm_demonstrative_40.en.bpe,translations/out_rm_demonstrative_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_40.es_en-es-non-shuffled.bpe,μ = 52.2 ± 0.6,52.3,41
50,demonstrative,bpe_set/rm_demonstrative_50.en.bpe,translations/out_rm_demonstrative_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_50.es_en-es-non-shuffled.bpe,μ = 52.1 ± 0.7,52.1,41
60,demonstrative,bpe_set/rm_demonstrative_60.en.bpe,translations/out_rm_demonstrative_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_60.es_en-es-non-shuffled.bpe,μ = 52.1 ± 0.7,52.1,41
70,demonstrative,bpe_set/rm_demonstrative_70.en.bpe,translations/out_rm_demonstrative_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_70.es_en-es-non-shuffled.bpe,μ = 52.0 ± 0.7,52.0,41
80,demonstrative,bpe_set/rm_demonstrative_80.en.bpe,translations/out_rm_demonstrative_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_80.es_en-es-non-shuffled.bpe,μ = 51.9 ± 0.7,51.9,41
90,demonstrative,bpe_set/rm_demonstrative_90.en.bpe,translations/out_rm_demonstrative_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_rm_demonstrative_90.es_en-es-non-shuffled.bpe,μ = 51.7 ± 0.7,51.7,41
100,determiner,bpe_set/without_DT_100.en.bpe,translations/out_without_DT_100.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_100.es_en-es-non-shuffled.bpe,μ = 50.2 ± 0.7,50.3,42
10,determiner,bpe_set/without_DT_10.en.bpe,translations/out_without_DT_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_10.es_en-es-non-shuffled.bpe,μ = 52.4 ± 0.7,52.4,42
20,determiner,bpe_set/without_DT_20.en.bpe,translations/out_without_DT_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_20.es_en-es-non-shuffled.bpe,μ = 52.2 ± 0.7,52.2,42
30,determiner,bpe_set/without_DT_30.en.bpe,translations/out_without_DT_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_30.es_en-es-non-shuffled.bpe,μ = 51.9 ± 0.7,51.9,42
40,determiner,bpe_set/without_DT_40.en.bpe,translations/out_without_DT_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_40.es_en-es-non-shuffled.bpe,μ = 51.8 ± 0.7,51.8,42
50,determiner,bpe_set/without_DT_50.en.bpe,translations/out_without_DT_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_50.es_en-es-non-shuffled.bpe,μ = 51.6 ± 0.7,51.6,42
60,determiner,bpe_set/without_DT_60.en.bpe,translations/out_without_DT_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_60.es_en-es-non-shuffled.bpe,μ = 51.2 ± 0.6,51.2,42
70,determiner,bpe_set/without_DT_70.en.bpe,translations/out_without_DT_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_70.es_en-es-non-shuffled.bpe,μ = 51.0 ± 0.7,51.0,42
80,determiner,bpe_set/without_DT_80.en.bpe,translations/out_without_DT_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_80.es_en-es-non-shuffled.bpe,μ = 50.7 ± 0.7,50.8,42
90,determiner,bpe_set/without_DT_90.en.bpe,translations/out_without_DT_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_DT_90.es_en-es-non-shuffled.bpe,μ = 50.5 ± 0.7,50.5,42
100,prepositions,bpe_set/without_prep_100.en.bpe,translations/out_without_prep_100.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_100.es_en-es-non-shuffled.bpe,μ = 44.6 ± 0.6,44.6,43
10,prepositions,bpe_set/without_prep_10.en.bpe,translations/out_without_prep_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_10.es_en-es-non-shuffled.bpe,μ = 51.8 ± 0.7,51.8,43
20,prepositions,bpe_set/without_prep_20.en.bpe,translations/out_without_prep_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_20.es_en-es-non-shuffled.bpe,μ = 51.1 ± 0.7,51.1,43
30,prepositions,bpe_set/without_prep_30.en.bpe,translations/out_without_prep_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_30.es_en-es-non-shuffled.bpe,μ = 50.5 ± 0.6,50.5,43
40,prepositions,bpe_set/without_prep_40.en.bpe,translations/out_without_prep_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_40.es_en-es-non-shuffled.bpe,μ = 49.6 ± 0.7,49.6,43
50,prepositions,bpe_set/without_prep_50.en.bpe,translations/out_without_prep_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_50.es_en-es-non-shuffled.bpe,μ = 48.8 ± 0.7,48.8,43
60,prepositions,bpe_set/without_prep_60.en.bpe,translations/out_without_prep_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_60.es_en-es-non-shuffled.bpe,μ = 48.1 ± 0.7,48.1,43
70,prepositions,bpe_set/without_prep_70.en.bpe,translations/out_without_prep_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_70.es_en-es-non-shuffled.bpe,μ = 47.0 ± 0.7,47.0,43
80,prepositions,bpe_set/without_prep_80.en.bpe,translations/out_without_prep_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_80.es_en-es-non-shuffled.bpe,μ = 46.1 ± 0.7,46.1,43
90,prepositions,bpe_set/without_prep_90.en.bpe,translations/out_without_prep_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_without_prep_90.es_en-es-non-shuffled.bpe,μ = 45.5 ± 0.7,45.6,43
100,word corruption,bpe_set/with_typos_100.en.bpe,translations/out_with_typos_100.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_100.es_en-es-non-shuffled.bpe,μ = 0.5 ± 0.1,0.5,44
10,word corruption,bpe_set/with_typos_10.en.bpe,translations/out_with_typos_10.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_10.es_en-es-non-shuffled.bpe,μ = 44.9 ± 0.6,44.9,44
20,word corruption,bpe_set/with_typos_20.en.bpe,translations/out_with_typos_20.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_20.es_en-es-non-shuffled.bpe,μ = 35.7 ± 0.5,35.7,44
30,word corruption,bpe_set/with_typos_30.en.bpe,translations/out_with_typos_30.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_30.es_en-es-non-shuffled.bpe,μ = 28.1 ± 0.5,28.1,44
40,word corruption,bpe_set/with_typos_40.en.bpe,translations/out_with_typos_40.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_40.es_en-es-non-shuffled.bpe,μ = 20.7 ± 0.5,20.8,44
50,word corruption,bpe_set/with_typos_50.en.bpe,translations/out_with_typos_50.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_50.es_en-es-non-shuffled.bpe,μ = 14.1 ± 0.4,14.1,44
60,word corruption,bpe_set/with_typos_60.en.bpe,translations/out_with_typos_60.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_60.es_en-es-non-shuffled.bpe,μ = 9.4 ± 0.3,9.4,44
70,word corruption,bpe_set/with_typos_70.en.bpe,translations/out_with_typos_70.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_70.es_en-es-non-shuffled.bpe,μ = 5.7 ± 0.2,5.7,44
80,word corruption,bpe_set/with_typos_80.en.bpe,translations/out_with_typos_80.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_80.es_en-es-non-shuffled.bpe,μ = 3.1 ± 0.2,3.1,44
90,word corruption,bpe_set/with_typos_90.en.bpe,translations/out_with_typos_90.es_en-es-non-shuffled.tok,en-es-non-shuffled,out_bpe_set/out_with_typos_90.es_en-es-non-shuffled.bpe,μ = 1.4 ± 0.1,1.4,44
100,lemmatization,bpe_set/lemmatization_100.en.bpe,translations/out_lemmatization_100.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_100.fr_shuffled.bpe,μ = 25.2 ± 0.6,25.2,45
10,lemmatization,bpe_set/lemmatization_10.en.bpe,translations/out_lemmatization_10.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_10.fr_shuffled.bpe,μ = 33.4 ± 0.7,33.4,45
20,lemmatization,bpe_set/lemmatization_20.en.bpe,translations/out_lemmatization_20.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_20.fr_shuffled.bpe,μ = 32.5 ± 0.7,32.5,45
30,lemmatization,bpe_set/lemmatization_30.en.bpe,translations/out_lemmatization_30.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_30.fr_shuffled.bpe,μ = 31.4 ± 0.7,31.4,45
40,lemmatization,bpe_set/lemmatization_40.en.bpe,translations/out_lemmatization_40.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_40.fr_shuffled.bpe,μ = 30.5 ± 0.7,30.5,45
50,lemmatization,bpe_set/lemmatization_50.en.bpe,translations/out_lemmatization_50.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_50.fr_shuffled.bpe,μ = 29.7 ± 0.7,29.7,45
60,lemmatization,bpe_set/lemmatization_60.en.bpe,translations/out_lemmatization_60.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_60.fr_shuffled.bpe,μ = 28.7 ± 0.6,28.7,45
70,lemmatization,bpe_set/lemmatization_70.en.bpe,translations/out_lemmatization_70.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_70.fr_shuffled.bpe,μ = 27.7 ± 0.6,27.7,45
80,lemmatization,bpe_set/lemmatization_80.en.bpe,translations/out_lemmatization_80.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_80.fr_shuffled.bpe,μ = 27.0 ± 0.6,27.0,45
90,lemmatization,bpe_set/lemmatization_90.en.bpe,translations/out_lemmatization_90.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_lemmatization_90.fr_shuffled.bpe,μ = 26.2 ± 0.7,26.2,45
100,removed punctuation,bpe_set/no_punctuation_100.en.bpe,translations/out_no_punctuation_100.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_100.fr_shuffled.bpe,μ = 30.3 ± 0.7,30.3,46
10,removed punctuation,bpe_set/no_punctuation_10.en.bpe,translations/out_no_punctuation_10.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_10.fr_shuffled.bpe,μ = 33.6 ± 0.7,33.6,46
20,removed punctuation,bpe_set/no_punctuation_20.en.bpe,translations/out_no_punctuation_20.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_20.fr_shuffled.bpe,μ = 33.3 ± 0.7,33.3,46
30,removed punctuation,bpe_set/no_punctuation_30.en.bpe,translations/out_no_punctuation_30.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_30.fr_shuffled.bpe,μ = 32.9 ± 0.7,32.9,46
40,removed punctuation,bpe_set/no_punctuation_40.en.bpe,translations/out_no_punctuation_40.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_40.fr_shuffled.bpe,μ = 32.5 ± 0.7,32.5,46
50,removed punctuation,bpe_set/no_punctuation_50.en.bpe,translations/out_no_punctuation_50.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_50.fr_shuffled.bpe,μ = 32.1 ± 0.7,32.1,46
60,removed punctuation,bpe_set/no_punctuation_60.en.bpe,translations/out_no_punctuation_60.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_60.fr_shuffled.bpe,μ = 31.5 ± 0.7,31.5,46
70,removed punctuation,bpe_set/no_punctuation_70.en.bpe,translations/out_no_punctuation_70.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_70.fr_shuffled.bpe,μ = 31.1 ± 0.7,31.1,46
80,removed punctuation,bpe_set/no_punctuation_80.en.bpe,translations/out_no_punctuation_80.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_80.fr_shuffled.bpe,μ = 30.7 ± 0.7,30.8,46
90,removed punctuation,bpe_set/no_punctuation_90.en.bpe,translations/out_no_punctuation_90.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_no_punctuation_90.fr_shuffled.bpe,μ = 30.3 ± 0.7,30.3,46
100,all named entities,bpe_set/removed_named_allentities_100.en.bpe,translations/out_removed_named_allentities_100.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_100.fr_shuffled.bpe,μ = 20.6 ± 0.5,20.6,47
10,all named entities,bpe_set/removed_named_allentities_10.en.bpe,translations/out_removed_named_allentities_10.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_10.fr_shuffled.bpe,μ = 32.6 ± 0.7,32.6,47
20,all named entities,bpe_set/removed_named_allentities_20.en.bpe,translations/out_removed_named_allentities_20.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_20.fr_shuffled.bpe,μ = 30.9 ± 0.7,30.9,47
30,all named entities,bpe_set/removed_named_allentities_30.en.bpe,translations/out_removed_named_allentities_30.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_30.fr_shuffled.bpe,μ = 29.6 ± 0.7,29.6,47
40,all named entities,bpe_set/removed_named_allentities_40.en.bpe,translations/out_removed_named_allentities_40.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_40.fr_shuffled.bpe,μ = 27.9 ± 0.6,27.9,47
50,all named entities,bpe_set/removed_named_allentities_50.en.bpe,translations/out_removed_named_allentities_50.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_50.fr_shuffled.bpe,μ = 26.6 ± 0.6,26.6,47
60,all named entities,bpe_set/removed_named_allentities_60.en.bpe,translations/out_removed_named_allentities_60.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_60.fr_shuffled.bpe,μ = 25.3 ± 0.6,25.3,47
70,all named entities,bpe_set/removed_named_allentities_70.en.bpe,translations/out_removed_named_allentities_70.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_70.fr_shuffled.bpe,μ = 24.1 ± 0.5,24.1,47
80,all named entities,bpe_set/removed_named_allentities_80.en.bpe,translations/out_removed_named_allentities_80.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_80.fr_shuffled.bpe,μ = 22.9 ± 0.5,22.9,47
90,all named entities,bpe_set/removed_named_allentities_90.en.bpe,translations/out_removed_named_allentities_90.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_allentities_90.fr_shuffled.bpe,μ = 21.5 ± 0.5,21.5,47
100,cardinal numbers,bpe_set/removed_named_entities_cardinal_100.en.bpe,translations/out_removed_named_entities_cardinal_100.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_entities_cardinal_100.fr_shuffled.bpe,μ = 32.7 ± 0.7,32.7,48
10,cardinal numbers,bpe_set/removed_named_entities_cardinal_10.en.bpe,translations/out_removed_named_entities_cardinal_10.fr_shuffled.tok,shuffled-en-fr,out_bpe_set/out_removed_named_entities_cardinal_10.fr_shuffled.bpe,μ = 34.1 ± 0.7,34.1,48
